Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9C40,G80VJ12,RM460924,PHRMBON-L000165,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6A2B3E,FDWTJ12,,PHRMBON-L000166,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6E1711,7BWTJ12,,PHRMBON-L000167,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6A2779,DFWTJ12,RM460925,PHRMBON-L000170,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9C1B,5LWTJ12,,PHRMBON-L000171,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7440,In Stock,ECF4BB6E3A4E,FXZTJ12,RM460,PHRMBON-L000172,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6E18C4,1VWTJ12,,PHRMBON-L000173,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9B58,41XTJ12,,PHRMBON-L000174,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6E11B3,GHWTJ12,RM460927,PHRMBON-L000175,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9DEF,BBWTJ12,RM460931,PHRMBON-L000176,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9B73,GTWTJ12,,PHRMBON-L000179,WORKING,2019-08-14,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6E1735,GV9XN32,,PHRMBON-L000180,WORKING,2019-08-13,,,,,Migration,2021-07-12,,,,,,
